2024/04/01,Mon,14,6,0,Sunny
2024/04/02,Tue,18,2,0,Cloudy
2024/04/03,Wed,12,7,26,Rainy
2024/04/04,Thu,13,7,4,Cloudy
2024/04/05,Fri,10,5,2,Rainy
2024/04/06,Sat,18,7,0,Cloudy
2024/04/07,Sun,22,7,0,Cloudy
2024/04/08,Mon,21,9,5,Rainy
2024/04/09,Tue,14,3,57,Rainy
2024/04/10,Wed,16,1,0,Sunny
2024/04/11,Thu,17,4,0,Cloudy
2024/04/12,Fri,20,9,0,Cloudy
2024/04/13,Sat,22,6,0,Sunny
2024/04/14,Sun,24,8,0,Sunny
2024/04/15,Mon,24,10,0,Cloudy
2024/04/16,Tue,20,11,5,Cloudy
2024/04/17,Wed,21,11,11,Rainy
2024/04/18,Thu,19,8,0,Cloudy
2024/04/19,Fri,18,7,0,Sunny
2024/04/20,Sat,21,6,0,Cloudy
2024/04/21,Sun,19,11,6,Rainy
2024/04/22,Mon,18,11,1,Rainy
2024/04/23,Tue,18,13,2,Rainy
2024/04/24,Wed,13,11,6,Rainy
2024/04/25,Thu,21,12,0,Sunny
2024/04/26,Fri,24,7,0,Cloudy
2024/04/27,Sat,22,14,0,Cloudy
2024/04/28,Sun,27,10,0,Cloudy
2024/04/29,Mon,25,13,0,Rainy
2024/04/30,Tue,20,13,4,Rainy
